iter	Logloss
0	0.6918583197
1	0.6906194747
2	0.6894403554
3	0.6883223092
4	0.6871522283
5	0.6860566514
6	0.6850129186
7	0.6838937502
8	0.6828102115
9	0.6817356061
10	0.6808465265
11	0.6798558024
12	0.6788556275
13	0.6779650975
14	0.6769803092
15	0.6760258587
16	0.6751022059
17	0.6742152746
18	0.6733873404
19	0.6725244821
20	0.6717943762
21	0.6710207578
22	0.670215562
23	0.6694210994
24	0.6686492515
25	0.6678731953
26	0.6670867196
27	0.666367407
28	0.6657017631
29	0.6650355137
30	0.664375815
31	0.6636666939
32	0.6629553828
33	0.6622858144
34	0.6616519712
35	0.6609883441
36	0.6604638052
37	0.659797912
38	0.659222846
39	0.6586315915
40	0.6580092669
41	0.6574628924
42	0.6568673441
43	0.6563118201
44	0.6557437198
45	0.6552736473
46	0.6547303919
47	0.6541936863
48	0.6536655499
49	0.6531674788
50	0.6526301576
51	0.6521386378
52	0.6516095627
53	0.6511269337
54	0.6506422315
55	0.650185961
56	0.6497466644
57	0.6492786063
58	0.6488574121
59	0.6484006337
60	0.648002995
61	0.6475387425
62	0.6471019855
63	0.6467333561
64	0.6463139907
65	0.6459096354
66	0.6455409725
67	0.6451504276
68	0.6448081561
69	0.6444151151
70	0.6440353913
71	0.6436732265
72	0.6433591172
73	0.6430072848
74	0.6426284239
75	0.6422812836
76	0.6419370415
77	0.6415305983
78	0.6411805879
79	0.6408355398
80	0.6405329682
81	0.6401806346
82	0.6398361438
83	0.6395080532
84	0.6392106593
85	0.6389087544
86	0.6386205958
87	0.6383374733
88	0.6380188733
89	0.6377213659
90	0.6374291122
91	0.6370825518
92	0.6367977355
93	0.6364819916
94	0.6362289787
95	0.6359706291
96	0.6356768812
97	0.6353540184
98	0.6351248929
99	0.6348593969
100	0.6345909861
101	0.6343565928
102	0.634124591
103	0.633856707
104	0.6336353521
105	0.633417738
106	0.6331523096
107	0.6329001318
108	0.6326584582
109	0.6323933663
110	0.6321627136
111	0.6319373621
112	0.6316856785
113	0.6315075652
114	0.6313098651
115	0.6310676825
116	0.6308872769
117	0.6306811756
118	0.6304614157
119	0.6302641948
120	0.6300419862
121	0.6298301899
122	0.6296166671
123	0.6294201075
124	0.6292354329
125	0.6290772309
126	0.6288660062
127	0.6286740341
128	0.6284131147
129	0.6282030875
130	0.6279857666
131	0.6277303167
132	0.6275578176
133	0.6273802043
134	0.6271519599
135	0.6269537206
136	0.6267572118
137	0.6265642436
138	0.626367775
139	0.6261677847
