iter	Passed	Remaining
0	5	5166
1	10	5225
2	15	5200
3	20	5206
4	26	5198
5	31	5244
6	36	5234
7	42	5226
8	47	5206
9	52	5210
10	57	5170
11	62	5178
12	68	5207
13	73	5206
14	79	5192
15	84	5204
16	89	5177
17	94	5168
18	100	5181
19	105	5167
20	110	5142
21	115	5137
22	120	5126
23	125	5098
24	130	5098
25	135	5073
26	140	5053
27	145	5042
28	150	5042
29	155	5027
30	160	5021
31	166	5025
32	171	5026
33	176	5022
34	182	5022
35	187	5013
36	192	4999
37	197	4998
38	202	4992
39	208	4993
40	213	4997
41	219	5002
42	224	4985
43	229	4995
44	235	4997
45	240	4987
46	245	4982
47	250	4975
48	256	4972
49	261	4971
50	267	4979
51	272	4973
52	278	4982
53	284	4981
54	289	4975
55	295	4973
56	301	4979
57	306	4977
58	312	4977
59	317	4980
60	323	4972
61	328	4965
62	333	4960
63	338	4952
64	343	4942
65	348	4938
66	353	4924
67	359	4926
68	365	4927
69	370	4919
70	375	4915
71	381	4912
72	386	4906
73	392	4906
74	397	4898
75	402	4890
76	407	4882
77	413	4883
78	418	4875
79	423	4866
80	428	4863
81	433	4857
82	439	4850
83	444	4851
84	450	4845
85	454	4834
86	460	4832
87	466	4829
88	470	4819
89	476	4817
90	481	4809
91	486	4802
92	491	4792
93	496	4783
94	501	4772
95	506	4765
96	511	4762
97	516	4756
98	521	4750
99	527	4746
100	532	4741
101	537	4736
102	542	4728
103	548	4723
104	553	4717
105	559	4717
106	564	4711
107	569	4703
108	574	4699
109	580	4694
110	585	4689
111	590	4683
112	596	4678
113	600	4670
114	606	4666
115	611	4660
116	616	4651
117	621	4644
118	626	4637
119	631	4631
120	636	4625
121	641	4618
122	646	4611
123	651	4605
124	657	4602
125	662	4596
126	667	4589
127	672	4584
128	677	4577
129	682	4570
130	687	4563
131	693	4559
132	698	4552
133	703	4544
134	708	4539
135	713	4531
136	718	4522
137	723	4517
138	727	4508
139	732	4501
140	738	4496
141	743	4492
142	749	4488
143	754	4485
144	759	4477
145	764	4472
146	769	4467
147	775	4465
148	780	4460
149	786	4454
150	791	4449
151	796	4444
152	801	4438
153	807	4434
154	812	4429
155	817	4423
156	823	4419
157	828	4413
158	833	4407
159	839	4408
160	844	4403
161	850	4398
162	855	4395
163	860	4388
164	865	4382
165	871	4378
166	876	4372
167	881	4366
168	887	4362
169	892	4357
170	897	4351
171	903	4347
172	908	4342
173	913	4335
174	918	4331
175	924	4327
176	928	4319
177	934	4313
178	939	4308
179	944	4301
180	949	4296
181	954	4291
182	959	4285
183	964	4278
184	970	4274
185	975	4268
186	980	4262
187	986	4259
188	991	4253
189	996	4246
190	1001	4242
191	1006	4234
192	1011	4229
193	1016	4224
194	1022	4220
195	1027	4215
196	1033	4210
197	1038	4207
198	1043	4201
199	1049	4197
200	1054	4192
201	1059	4185
202	1064	4179
203	1069	4174
204	1074	4167
205	1079	4160
206	1085	4157
207	1090	4151
208	1095	4145
209	1101	4142
210	1106	4136
211	1110	4127
212	1115	4122
213	1120	4117
214	1126	4112
215	1131	4107
216	1136	4101
217	1141	4096
218	1147	4091
219	1152	4086
220	1157	4080
221	1162	4074
222	1168	4070
223	1173	4065
224	1178	4060
225	1184	4055
226	1189	4049
227	1194	4044
228	1199	4038
229	1204	4033
230	1210	4028
231	1215	4023
232	1220	4016
233	1225	4012
234	1230	4007
235	1236	4001
236	1241	3996
237	1247	3993
238	1252	3988
239	1257	3982
240	1262	3976
241	1267	3970
242	1272	3964
243	1277	3959
244	1283	3954
245	1288	3947
246	1293	3942
247	1298	3937
248	1303	3932
249	1308	3926
250	1314	3921
251	1319	3915
252	1324	3909
253	1329	3904
254	1334	3899
255	1339	3893
256	1344	3888
257	1350	3882
258	1354	3876
259	1360	3871
260	1365	3866
261	1370	3860
262	1375	3854
263	1380	3849
264	1385	3843
265	1390	3838
266	1396	3833
267	1401	3827
268	1406	3822
269	1411	3817
270	1417	3812
271	1422	3806
272	1427	3801
273	1432	3796
274	1438	3791
275	1443	3786
276	1448	3780
277	1453	3775
278	1458	3769
279	1463	3764
280	1468	3758
281	1473	3752
282	1479	3747
283	1484	3742
284	1489	3736
285	1494	3732
286	1500	3726
287	1504	3720
288	1510	3716
289	1515	3710
290	1520	3704
291	1526	3700
292	1531	3695
293	1536	3688
294	1541	3683
295	1546	3679
296	1551	3673
297	1557	3668
298	1562	3663
299	1567	3658
300	1573	3653
301	1578	3647
302	1583	3642
303	1588	3637
304	1594	3632
305	1599	3627
306	1604	3622
307	1609	3616
308	1615	3611
309	1620	3606
310	1625	3601
311	1630	3596
312	1635	3590
313	1641	3585
314	1646	3579
315	1651	3574
316	1656	3569
317	1661	3563
318	1666	3558
319	1672	3553
320	1677	3548
321	1682	3541
322	1687	3536
323	1692	3531
324	1697	3526
325	1702	3520
326	1708	3515
327	1713	3510
328	1718	3504
329	1723	3499
330	1728	3494
331	1733	3488
332	1739	3483
333	1745	3479
334	1749	3473
335	1755	3468
336	1760	3463
337	1765	3458
338	1771	3453
339	1776	3448
340	1781	3442
341	1786	3437
342	1792	3432
343	1797	3427
344	1802	3421
345	1807	3416
346	1812	3411
347	1817	3405
348	1823	3401
349	1828	3395
350	1833	3389
351	1838	3384
352	1843	3379
353	1848	3373
354	1853	3368
355	1859	3363
356	1864	3357
357	1869	3352
358	1874	3347
359	1880	3342
360	1885	3337
361	1891	3332
362	1896	3327
363	1901	3322
364	1906	3316
365	1911	3311
366	1916	3305
367	1921	3300
368	1927	3295
369	1931	3289
370	1937	3285
371	1942	3280
372	1948	3274
373	1953	3270
374	1958	3264
375	1963	3259
376	1969	3254
377	1974	3249
378	1979	3243
379	1985	3238
380	1990	3233
381	1995	3228
382	2000	3223
383	2006	3218
384	2011	3212
385	2016	3207
386	2021	3202
387	2026	3196
388	2031	3191
389	2037	3186
390	2042	3180
391	2046	3174
392	2052	3169
393	2056	3163
394	2061	3157
395	2067	3153
396	2073	3148
397	2078	3143
398	2083	3137
399	2088	3132
400	2093	3126
401	2098	3121
402	2103	3115
403	2108	3109
404	2112	3103
405	2118	3098
406	2123	3093
407	2128	3088
408	2133	3083
409	2138	3077
410	2143	3071
411	2148	3066
412	2153	3061
413	2158	3055
414	2164	3050
415	2169	3045
416	2174	3040
417	2180	3035
418	2185	3030
419	2190	3024
420	2195	3019
421	2200	3014
422	2205	3009
423	2211	3003
424	2216	2998
425	2221	2993
426	2226	2987
427	2232	2982
428	2237	2977
429	2242	2972
430	2247	2967
431	2252	2962
432	2257	2956
433	2263	2951
434	2268	2946
435	2273	2941
436	2278	2935
437	2284	2930
438	2289	2925
439	2293	2919
440	2299	2914
441	2304	2908
442	2309	2903
443	2314	2898
444	2319	2893
445	2325	2888
446	2330	2883
447	2335	2877
448	2340	2872
449	2345	2867
450	2350	2861
451	2355	2856
452	2360	2850
453	2366	2845
454	2371	2840
455	2376	2834
456	2381	2829
457	2386	2824
458	2391	2818
459	2396	2813
460	2401	2808
461	2406	2802
462	2411	2797
463	2417	2792
464	2422	2786
465	2427	2782
466	2433	2777
467	2438	2771
468	2443	2766
469	2448	2761
470	2454	2756
471	2459	2751
472	2464	2745
473	2469	2740
474	2474	2734
475	2479	2729
476	2484	2724
477	2489	2719
478	2495	2714
479	2500	2709
480	2505	2703
481	2511	2698
482	2516	2693
483	2520	2687
484	2526	2682
485	2531	2677
486	2536	2671
487	2541	2666
488	2547	2662
489	2552	2656
490	2557	2651
491	2563	2646
492	2568	2641
493	2573	2636
494	2579	2631
495	2584	2626
496	2589	2620
497	2594	2615
498	2600	2611
499	2606	2606
500	2613	2603
501	2618	2598
502	2624	2593
503	2629	2588
504	2635	2583
505	2640	2577
506	2646	2573
507	2651	2568
508	2657	2563
509	2663	2558
510	2668	2553
511	2673	2548
512	2679	2543
513	2683	2537
514	2689	2532
515	2694	2527
516	2699	2522
517	2705	2517
518	2710	2511
519	2715	2506
520	2721	2502
521	2726	2496
522	2731	2491
523	2736	2486
524	2742	2481
525	2747	2475
526	2752	2470
527	2757	2465
528	2762	2459
529	2767	2454
530	2773	2449
531	2778	2443
532	2783	2438
533	2788	2433
534	2793	2428
535	2799	2423
536	2804	2418
537	2810	2413
538	2814	2407
539	2820	2402
540	2826	2397
541	2830	2392
542	2836	2387
543	2842	2382
544	2847	2377
545	2853	2372
546	2858	2367
547	2863	2361
548	2868	2356
549	2874	2351
550	2879	2346
551	2884	2341
552	2890	2336
553	2895	2331
554	2900	2325
555	2905	2320
556	2911	2315
557	2916	2310
558	2921	2305
559	2926	2299
560	2931	2294
561	2937	2289
562	2942	2283
563	2947	2278
564	2952	2273
565	2958	2268
566	2963	2262
567	2968	2257
568	2973	2252
569	2978	2247
570	2984	2242
571	2989	2237
572	2994	2231
573	3000	2226
574	3005	2221
575	3010	2216
576	3015	2210
577	3021	2205
578	3026	2200
579	3031	2194
580	3036	2189
581	3041	2184
582	3046	2179
583	3052	2174
584	3057	2168
585	3062	2163
586	3067	2158
587	3073	2153
588	3078	2148
589	3084	2143
590	3089	2138
591	3094	2132
592	3098	2126
593	3104	2121
594	3109	2116
595	3114	2110
596	3119	2105
597	3124	2100
598	3129	2095
599	3135	2090
600	3140	2085
601	3145	2079
602	3150	2074
603	3155	2069
604	3160	2063
605	3165	2058
606	3171	2053
607	3176	2047
608	3181	2042
609	3186	2037
610	3191	2032
611	3196	2026
612	3201	2021
613	3206	2015
614	3211	2010
615	3216	2005
616	3221	1999
617	3226	1994
618	3231	1989
619	3237	1984
620	3242	1978
621	3247	1973
622	3253	1968
623	3258	1963
624	3263	1958
625	3268	1952
626	3273	1947
627	3279	1942
628	3284	1937
629	3289	1931
630	3294	1926
631	3300	1921
632	3305	1916
633	3310	1910
634	3315	1906
635	3321	1900
636	3325	1895
637	3331	1890
638	3336	1884
639	3341	1879
640	3346	1874
641	3351	1868
642	3356	1863
643	3362	1858
644	3367	1853
645	3372	1848
646	3377	1842
647	3383	1837
648	3388	1832
649	3393	1827
650	3398	1822
651	3403	1816
652	3408	1811
653	3413	1805
654	3418	1800
655	3423	1795
656	3428	1790
657	3433	1784
658	3439	1779
659	3444	1774
660	3449	1769
661	3454	1763
662	3460	1758
663	3465	1753
664	3470	1748
665	3475	1743
666	3481	1737
667	3486	1732
668	3491	1727
669	3496	1722
670	3501	1716
671	3506	1711
672	3512	1706
673	3517	1701
674	3522	1695
675	3527	1690
676	3532	1685
677	3537	1680
678	3542	1674
679	3548	1669
680	3553	1664
681	3558	1659
682	3564	1654
683	3568	1648
684	3574	1643
685	3579	1638
686	3584	1633
687	3589	1627
688	3595	1622
689	3600	1617
690	3605	1612
691	3610	1607
692	3615	1601
693	3620	1596
694	3626	1591
695	3631	1586
696	3636	1580
697	3641	1575
698	3646	1570
699	3651	1564
700	3656	1559
701	3661	1554
702	3666	1548
703	3671	1543
704	3676	1538
705	3681	1533
706	3686	1527
707	3691	1522
708	3697	1517
709	3702	1512
710	3707	1506
711	3712	1501
712	3716	1496
713	3722	1490
714	3727	1485
715	3732	1480
716	3738	1475
717	3743	1470
718	3748	1465
719	3754	1459
720	3759	1454
721	3764	1449
722	3769	1444
723	3774	1439
724	3779	1433
725	3784	1428
726	3790	1423
727	3795	1418
728	3800	1412
729	3806	1407
730	3811	1402
731	3816	1397
732	3822	1392
733	3827	1386
734	3832	1381
735	3837	1376
736	3842	1371
737	3847	1366
738	3853	1360
739	3858	1355
740	3863	1350
741	3868	1345
742	3874	1340
743	3879	1334
744	3884	1329
745	3889	1324
746	3894	1319
747	3899	1313
748	3905	1308
749	3910	1303
750	3915	1298
751	3920	1292
752	3926	1287
753	3931	1282
754	3935	1277
755	3941	1272
756	3946	1266
757	3951	1261
758	3957	1256
759	3962	1251
760	3967	1246
761	3973	1240
762	3978	1235
763	3983	1230
764	3988	1225
765	3993	1220
766	3998	1214
767	4004	1209
768	4009	1204
769	4014	1199
770	4019	1193
771	4024	1188
772	4029	1183
773	4034	1178
774	4040	1172
775	4044	1167
776	4050	1162
777	4055	1157
778	4060	1151
779	4065	1146
780	4070	1141
781	4076	1136
782	4081	1131
783	4086	1125
784	4091	1120
785	4096	1115
786	4101	1110
787	4107	1105
788	4112	1099
789	4117	1094
790	4122	1089
791	4127	1084
792	4133	1078
793	4138	1073
794	4143	1068
795	4149	1063
796	4154	1058
797	4159	1052
798	4164	1047
799	4169	1042
800	4174	1037
801	4179	1031
802	4185	1026
803	4190	1021
804	4195	1016
805	4201	1011
806	4206	1005
807	4211	1000
808	4216	995
809	4221	990
810	4226	984
811	4232	979
812	4237	974
813	4242	969
814	4247	964
815	4253	959
816	4257	953
817	4263	948
818	4268	943
819	4273	938
820	4278	932
821	4284	927
822	4289	922
823	4294	917
824	4299	911
825	4304	906
826	4309	901
827	4315	896
828	4320	891
829	4325	885
830	4330	880
831	4335	875
832	4340	870
833	4346	865
834	4351	859
835	4356	854
836	4362	849
837	4367	844
838	4372	839
839	4378	834
840	4384	828
841	4389	823
842	4395	818
843	4400	813
844	4405	808
845	4411	803
846	4416	797
847	4422	792
848	4427	787
849	4433	782
850	4438	777
851	4444	771
852	4449	766
853	4454	761
854	4460	756
855	4465	751
856	4471	746
857	4476	740
858	4482	735
859	4487	730
860	4493	725
861	4498	720
862	4503	714
863	4508	709
864	4513	704
865	4519	699
866	4524	694
867	4529	688
868	4534	683
869	4540	678
870	4545	673
871	4550	667
872	4555	662
873	4560	657
874	4565	652
875	4570	647
876	4576	641
877	4581	636
878	4587	631
879	4592	626
880	4597	620
881	4602	615
882	4608	610
883	4613	605
884	4619	600
885	4625	595
886	4631	590
887	4636	584
888	4644	579
889	4649	574
890	4655	569
891	4661	564
892	4666	559
893	4671	553
894	4677	548
895	4682	543
896	4687	538
897	4692	532
898	4697	527
899	4701	522
900	4707	517
901	4712	511
902	4717	506
903	4722	501
904	4727	496
905	4732	490
906	4737	485
907	4742	480
908	4747	475
909	4752	470
910	4758	464
911	4763	459
912	4768	454
913	4773	449
914	4778	443
915	4783	438
916	4789	433
917	4794	428
918	4799	423
919	4805	417
920	4810	412
921	4815	407
922	4821	402
923	4826	396
924	4833	391
925	4839	386
926	4845	381
927	4850	376
928	4856	371
929	4861	365
930	4866	360
931	4872	355
932	4877	350
933	4882	345
934	4887	339
935	4892	334
936	4897	329
937	4902	324
938	4908	318
939	4913	313
940	4918	308
941	4925	303
942	4938	298
943	4954	293
944	4968	289
945	4986	284
946	5003	280
947	5018	275
948	5047	271
949	5064	266
950	5077	261
951	5090	256
952	5101	251
953	5113	246
954	5127	241
955	5153	237
956	5166	232
957	5180	227
958	5194	222
959	5208	217
960	5223	211
961	5238	206
962	5251	201
963	5266	196
964	5281	191
965	5294	186
966	5308	181
967	5324	176
968	5338	170
969	5353	165
970	5367	160
971	5383	155
972	5402	149
973	5420	144
974	5435	139
975	5449	134
976	5468	128
977	5483	123
978	5497	117
979	5511	112
980	5528	107
981	5543	101
982	5557	96
983	5571	90
984	5586	85
985	5602	79
986	5617	73
987	5632	68
988	5646	62
989	5702	57
990	5715	51
991	5729	46
992	5749	40
993	5765	34
994	5781	29
995	5794	23
996	5808	17
997	5823	11
998	5836	5
999	5850	0
